id,mocap_displacement,mp_world_displacement,mp_world_z_displacement,mp_norm_displacement,mp_norm_displacement_z,apple_displacement
001,5.519709257696354,13.56164684098299,17.943741043642348,1.312281212654856,3.377412060042461,7.67306216223276
002,2.552260790408508,12.262919159610473,15.526516310873017,4.756180672858093,5.74344739609292,9.53346761188304
003,2.9140819982586663,10.206464691124738,17.90860779181155,1.3589614607220029,3.041282033920328,4.3690362646738246
004,27.35170988474136,13.542674181612151,16.559313541361362,3.1971372257988127,4.39930190324492,7.103618406722791
005,81.1391385678078,21.184848450600487,28.646182603999826,5.680214444166358,7.55821299974561,8.28969920013867
006,22.15002163657492,12.153822850330704,15.036738777425946,2.619140500022678,4.037704325539705,3.602124885933007
007,27.982907588748965,18.928568245186405,25.1735419113824,4.945593848051198,11.392472391204858,21.040942076711183
008,1.0610211780372771,7.771733831427302,9.300279004829523,0.7662135810729405,1.3420631362533482,7.201883217329804
009,2.309506483465486,11.018838774004013,16.198454568217226,4.098361304448469,5.291554938226378,10.295148067884142
011,40.76173768706298,11.66952775528815,18.564054429046045,3.062554460431861,4.465673750681994,4.4914942442613075
012,3.6718044047988627,18.190901070372554,28.302356333118723,2.753113640968129,8.342826880543463,4.790620840594346
013,14.11369818188217,13.78229506000785,17.408795841724494,4.805293769107676,5.75250336165317,9.859047663474607
014,1.7461672438692935,7.671524893270583,9.606606407554654,2.939455312484031,4.736866488028868,8.139902326885982
015,18.42124966554242,62.495725921388726,71.31379532234102,34.53317271582359,38.110074227572404,30.824674199916615
016,5.430027307097299,7.231012759849006,9.994876397006692,5.641024280510303,7.0905560801621705,9.009083245249009
017,2.3039454822854863,5.442830383332893,7.708397177949806,8.16509894684942,9.785114988993442,7.759914041331714
018,69.62196218828491,2.72209602196014,3.4760597390645103,2.8518950221673407,3.401096922675333,5.320027517549624
019,3.06750373153713,8.472635399143936,10.69349421403054,1.8800785019197572,2.6222898380942405,6.255393335009925
020,3.049829856666652,13.03502250610235,16.616185935880207,3.9643582680782448,5.260901099484867,10.595427001936004
